,adversarial_nonsense,certain,corrupted,gibberish,nonword,word_salad
adversarial_nonsense,0.0,0.32893067598342896,0.24719294905662537,0.6208030581474304,0.24019071459770203,0.32710981369018555
certain,0.32893067598342896,0.0,0.01364911813288927,0.5950170755386353,0.015410729683935642,-0.0014427818823605776
corrupted,0.24719294905662537,0.01364911813288927,0.0,0.5278996229171753,0.0002830750891007483,0.012888169847428799
gibberish,0.6208030581474304,0.5950170755386353,0.5278996229171753,0.0,0.5240222811698914,0.5922306180000305
nonword,0.24019071459770203,0.015410729683935642,0.0002830750891007483,0.5240222811698914,0.0,0.014225061051547527
word_salad,0.32710981369018555,-0.0014427818823605776,0.012888169847428799,0.5922306180000305,0.014225061051547527,0.0
