Method,Category_1,Category_2,Silhouette_Score
UMAP-2D_nn15_md01,corrupted,adversarial_nonsense,0.2636343538761139
UMAP-2D_nn15_md01,gibberish,adversarial_nonsense,0.7435212731361389
UMAP-2D_nn15_md01,nonword,adversarial_nonsense,0.2508561909198761
UMAP-2D_nn15_md01,word_salad,adversarial_nonsense,0.35711729526519775
UMAP-2D_nn15_md01,adversarial_nonsense,certain,0.372713565826416
UMAP-2D_nn15_md01,corrupted,certain,0.017786242067813873
UMAP-2D_nn15_md01,gibberish,certain,0.6686590313911438
UMAP-2D_nn15_md01,nonword,certain,0.020592646673321724
UMAP-2D_nn15_md01,word_salad,certain,-0.001213445677421987
UMAP-2D_nn15_md01,adversarial_nonsense,corrupted,0.2636343538761139
UMAP-2D_nn15_md01,certain,corrupted,0.017786242067813873
UMAP-2D_nn15_md01,gibberish,corrupted,0.6177349090576172
UMAP-2D_nn15_md01,nonword,corrupted,-0.0010181820252910256
UMAP-2D_nn15_md01,word_salad,corrupted,0.01549419667571783
UMAP-2D_nn15_md01,adversarial_nonsense,gibberish,0.7435212731361389
UMAP-2D_nn15_md01,certain,gibberish,0.6686590313911438
UMAP-2D_nn15_md01,corrupted,gibberish,0.6177349090576172
UMAP-2D_nn15_md01,nonword,gibberish,0.6106923818588257
UMAP-2D_nn15_md01,word_salad,gibberish,0.6606733798980713
UMAP-2D_nn15_md01,adversarial_nonsense,nonword,0.2508561909198761
UMAP-2D_nn15_md01,certain,nonword,0.020592646673321724
UMAP-2D_nn15_md01,corrupted,nonword,-0.0010181820252910256
UMAP-2D_nn15_md01,gibberish,nonword,0.6106923818588257
UMAP-2D_nn15_md01,word_salad,nonword,0.017782509326934814
UMAP-2D_nn15_md01,adversarial_nonsense,word_salad,0.35711729526519775
UMAP-2D_nn15_md01,certain,word_salad,-0.001213445677421987
UMAP-2D_nn15_md01,corrupted,word_salad,0.01549419667571783
UMAP-2D_nn15_md01,gibberish,word_salad,0.6606733798980713
UMAP-2D_nn15_md01,nonword,word_salad,0.017782509326934814
UMAP-2D_nn30_md01,certain,adversarial_nonsense,0.32893067598342896
UMAP-2D_nn30_md01,corrupted,adversarial_nonsense,0.24719294905662537
UMAP-2D_nn30_md01,gibberish,adversarial_nonsense,0.6208030581474304
UMAP-2D_nn30_md01,nonword,adversarial_nonsense,0.24019071459770203
UMAP-2D_nn30_md01,word_salad,adversarial_nonsense,0.32710981369018555
UMAP-2D_nn30_md01,adversarial_nonsense,certain,0.32893067598342896
UMAP-2D_nn30_md01,corrupted,certain,0.01364911813288927
UMAP-2D_nn30_md01,gibberish,certain,0.5950170755386353
UMAP-2D_nn30_md01,nonword,certain,0.015410729683935642
UMAP-2D_nn30_md01,word_salad,certain,-0.0014427818823605776
UMAP-2D_nn30_md01,adversarial_nonsense,corrupted,0.24719294905662537
UMAP-2D_nn30_md01,certain,corrupted,0.01364911813288927
UMAP-2D_nn30_md01,gibberish,corrupted,0.5278996229171753
UMAP-2D_nn30_md01,nonword,corrupted,0.0002830750891007483
UMAP-2D_nn30_md01,word_salad,corrupted,0.012888169847428799
UMAP-2D_nn30_md01,adversarial_nonsense,gibberish,0.6208030581474304
UMAP-2D_nn30_md01,certain,gibberish,0.5950170755386353
UMAP-2D_nn30_md01,corrupted,gibberish,0.5278996229171753
UMAP-2D_nn30_md01,nonword,gibberish,0.5240222811698914
UMAP-2D_nn30_md01,word_salad,gibberish,0.5922306180000305
UMAP-2D_nn30_md01,adversarial_nonsense,nonword,0.24019071459770203
UMAP-2D_nn30_md01,certain,nonword,0.015410729683935642
UMAP-2D_nn30_md01,corrupted,nonword,0.0002830750891007483
UMAP-2D_nn30_md01,gibberish,nonword,0.5240222811698914
UMAP-2D_nn30_md01,word_salad,nonword,0.014225061051547527
UMAP-2D_nn30_md01,adversarial_nonsense,word_salad,0.32710981369018555
UMAP-2D_nn30_md01,certain,word_salad,-0.0014427818823605776
UMAP-2D_nn30_md01,corrupted,word_salad,0.012888169847428799
UMAP-2D_nn30_md01,gibberish,word_salad,0.5922306180000305
UMAP-2D_nn30_md01,nonword,word_salad,0.014225061051547527
