,adversarial_nonsense,certain,corrupted,gibberish,nonword,word_salad
adversarial_nonsense,0.0,0.372713565826416,0.2636343538761139,0.7435212731361389,0.2508561909198761,0.35711729526519775
certain,0.372713565826416,0.0,0.017786242067813873,0.6686590313911438,0.020592646673321724,-0.001213445677421987
corrupted,0.2636343538761139,0.017786242067813873,0.0,0.6177349090576172,-0.0010181820252910256,0.01549419667571783
gibberish,0.7435212731361389,0.6686590313911438,0.6177349090576172,0.0,0.6106923818588257,0.6606733798980713
nonword,0.2508561909198761,0.020592646673321724,-0.0010181820252910256,0.6106923818588257,0.0,0.017782509326934814
word_salad,0.35711729526519775,-0.001213445677421987,0.01549419667571783,0.6606733798980713,0.017782509326934814,0.0
