,adversarial_nonsense,certain,corrupted,gibberish,nonword,word_salad
adversarial_nonsense,0.0,0.27925366163253784,0.10637069493532181,0.6249947547912598,0.13756345212459564,0.1805817186832428
certain,0.27925366163253784,0.0,0.05784127116203308,0.6661483645439148,0.06877727061510086,0.07326249033212662
corrupted,0.10637069493532181,0.05784127116203308,0.0,0.5786593556404114,0.004342994652688503,0.030577532947063446
gibberish,0.6249947547912598,0.6661483645439148,0.5786593556404114,0.0,0.592982828617096,0.6400860548019409
nonword,0.13756345212459564,0.06877727061510086,0.004342994652688503,0.592982828617096,0.0,0.05000905320048332
word_salad,0.1805817186832428,0.07326249033212662,0.030577532947063446,0.6400860548019409,0.05000905320048332,0.0
