,adversarial_nonsense,certain,corrupted,gibberish,nonword,word_salad
adversarial_nonsense,0.0,0.11815033107995987,0.09568505734205246,0.6716881990432739,0.08351410925388336,0.1246052235364914
certain,0.11815033107995987,0.0,0.020493362098932266,0.5155982375144958,0.02408752031624317,-0.0012976127909496427
corrupted,0.09568505734205246,0.020493362098932266,0.0,0.5193262100219727,0.00012466812040656805,0.01924915984272957
gibberish,0.6716881990432739,0.5155982375144958,0.5193262100219727,0.0,0.5186885595321655,0.5197041630744934
nonword,0.08351410925388336,0.02408752031624317,0.00012466812040656805,0.5186885595321655,0.0,0.023679591715335846
word_salad,0.1246052235364914,-0.0012976127909496427,0.01924915984272957,0.5197041630744934,0.023679591715335846,0.0
