,adversarial_nonsense,certain,corrupted,gibberish,nonword,word_salad
adversarial_nonsense,0.0,0.09081881493330002,0.04641445353627205,0.7378013730049133,0.06682872772216797,0.09727460891008377
certain,0.09081881493330002,0.0,0.010553184896707535,0.5341354012489319,0.01943013072013855,-0.0010754101676866412
corrupted,0.04641445353627205,0.010553184896707535,0.0,0.5292165279388428,0.003308988641947508,0.010844669304788113
gibberish,0.7378013730049133,0.5341354012489319,0.5292165279388428,0.0,0.5289803147315979,0.5403759479522705
nonword,0.06682872772216797,0.01943013072013855,0.003308988641947508,0.5289803147315979,0.0,0.017714330926537514
word_salad,0.09727460891008377,-0.0010754101676866412,0.010844669304788113,0.5403759479522705,0.017714330926537514,0.0
